S107,I413040,Apple iPhone 15 Pro,Electronics,80917.57,494
S124,I413041,Zara Maxi Dress,Apparel,44597.78,124
S123,I413042,Apple iPhone 15 Pro,Electronics,135079.8,75
S140,I413043,Adidas Ultraboost 23,Footwear,117737.19,371
S122,I413044,Bajaj Mixer Grinder,Home Appliances,88050.13,387
S149,I413045,Levis Denim Jacket,Apparel,109549.08,245
S119,I413046,U.S. Polo T-Shirt,Apparel,110423.12,185
S135,I413047,Samsung 55” Smart TV,Home Appliances,103536.58,142
S126,I413048,Levis Denim Jacket,Apparel,98207.38,382
S114,I413049,Dell XPS 13 Laptop,Electronics,76611.91,300
S134,I413050,Dyson Vacuum Cleaner,Home Appliances,137805.09,425
S113,I413051,LG 7kg Washing Machine,Home Appliances,19010.09,431
S116,I413052,U.S. Polo T-Shirt,Apparel,11772.74,33
S109,I413053,Philips Air Fryer,Home Appliances,79567.96,300
S119,I413054,Skechers GoWalk,Footwear,143251.64,420
S143,I413055,Adidas Ultraboost 23,Footwear,28824.44,402
S127,I413056,H&M Cotton Shirt,Apparel,79614.98,468
S131,I413057,Sony WH-1000XM5 Headphones,Electronics,113984.73,464
S106,I413058,Zara Maxi Dress,Apparel,145673.84,250
S107,I413059,Nike Air Zoom Pegasus,Footwear,92128.59,320
S140,I413060,Zara Maxi Dress,Apparel,93286.11,429
S108,I413061,Sony WH-1000XM5 Headphones,Electronics,103248.14,434
S137,I413062,Sony WH-1000XM5 Headphones,Electronics,95941.19,26
S117,I413063,LG 7kg Washing Machine,Home Appliances,114005.62,193
S119,I413064,Allen Solly Formal Pants,Apparel,140214.14,91
S102,I413065,Nike Air Zoom Pegasus,Footwear,109202.78,276
S101,I413066,Skechers GoWalk,Footwear,37746.72,230
S125,I413067,Sony WH-1000XM5 Headphones,Electronics,54754.53,424
S146,I413068,Nike Air Zoom Pegasus,Footwear,72067.3,220
S144,I413069,U.S. Polo T-Shirt,Apparel,111765.77,169
S139,I413070,Levis Denim Jacket,Apparel,127326.17,428
S116,I413071,Zara Maxi Dress,Apparel,38108.73,75
S104,I413072,Levis Denim Jacket,Apparel,90500.86,107
S124,I413073,Puma Running Shoes,Footwear,20031.65,400
S149,I413074,Reebok Nano X4,Footwear,122110.81,244
S125,I413075,Dell XPS 13 Laptop,Electronics,45082.07,115
S106,I413076,Dyson Vacuum Cleaner,Home Appliances,88578.37,168
S119,I413077,Philips Air Fryer,Home Appliances,8657.59,335
S122,I413078,Samsung 55” Smart TV,Home Appliances,94604.95,488
S123,I413079,H&M Cotton Shirt,Apparel,28395.45,30
S125,I413080,Bajaj Mixer Grinder,Home Appliances,134583.8,227
