S144,I145345,Dell XPS 13 Laptop,Electronics,47848.95,244
S100,I145346,Philips Air Fryer,Home Appliances,97182.43,387
S119,I145347,Samsung 55” Smart TV,Home Appliances,47820.19,426
S113,I145348,Dell XPS 13 Laptop,Electronics,25951.57,473
S116,I145349,Reebok Nano X4,Footwear,39089.51,318
S123,I145350,LG 7kg Washing Machine,Home Appliances,111228.42,455
S114,I145351,Dyson Vacuum Cleaner,Home Appliances,86350.05,257
S135,I145352,U.S. Polo T-Shirt,Apparel,17771.93,297
S114,I145353,Adidas Ultraboost 23,Footwear,127363.48,149
S149,I145354,LG 7kg Washing Machine,Home Appliances,133232.27,98
S102,I145355,Zara Maxi Dress,Apparel,62584.04,279
S139,I145356,Sony WH-1000XM5 Headphones,Electronics,25153.82,18
S140,I145357,Levis Denim Jacket,Apparel,1456.72,498
S124,I145358,Adidas Ultraboost 23,Footwear,35346.73,285
S126,I145359,Boat Smartwatch,Electronics,148138.87,99
S112,I145360,Levis Denim Jacket,Apparel,55711.34,114
S150,I145361,Adidas Ultraboost 23,Footwear,86882.55,265
S127,I145362,U.S. Polo T-Shirt,Apparel,14336.22,322
S139,I145363,Sony WH-1000XM5 Headphones,Electronics,54876.75,131
S135,I145364,Levis Denim Jacket,Apparel,142650.9,414
S128,I145365,Philips Air Fryer,Home Appliances,91368.87,175
S118,I145366,Skechers GoWalk,Footwear,108862.9,195
S135,I145367,Dyson Vacuum Cleaner,Home Appliances,129171.46,240
S125,I145368,Puma Running Shoes,Footwear,32736.13,409
S104,I145369,Nike Air Zoom Pegasus,Footwear,39738.1,443
S139,I145370,Reebok Nano X4,Footwear,22565.18,275
S129,I145371,Adidas Ultraboost 23,Footwear,30440.88,418
S135,I145372,Dell XPS 13 Laptop,Electronics,5231.77,255
S136,I145373,Puma Running Shoes,Footwear,49945.31,271
S119,I145374,Nike Air Zoom Pegasus,Footwear,9688.63,422
S130,I145375,Puma Running Shoes,Footwear,78294.53,429
S121,I145376,LG 7kg Washing Machine,Home Appliances,75700.91,378
S123,I145377,Dyson Vacuum Cleaner,Home Appliances,136862.58,421
