C235,I552003,1351,105008672.32,29545.56,2025-10-17
C239,I552004,2473,336620071.55,47035.2,2025-10-01
C226,I552005,1211,75037362.1,83283.13,2025-10-30
C205,I552006,663,831497.19,109474.0,2025-09-29
C232,I552007,2148,78155044.99,72286.57,2025-09-07
C203,I552008,1168,38358049.82,143096.43,2025-09-03
C220,I552009,531,70456386.45,115283.31,2025-10-08
C213,I552010,142,148031.08,19021.91,2025-09-26
C250,I552011,1193,164094447.81,118401.77,2025-09-27
C239,I552012,1125,156047164.5,78244.62,2025-10-31
C225,I552013,2206,47258779.19,104666.28,2025-10-02
C201,I552014,1164,132559343.61,47521.21,2025-09-01
C240,I552015,283,9990959.86,12800.7,2025-10-29
C247,I552016,2053,77767362.5,24310.17,2025-09-25
C224,I552017,2694,159695910.33,14556.06,2025-09-02
C238,I552018,2842,382333951.17,88353.32,2025-09-04
C239,I552019,220,22536617.1,15610.28,2025-09-07
C230,I552020,2089,146934738.01,121203.33,2025-09-23
C236,I552021,2012,75434929.6,9169.34,2025-10-25
C232,I552022,717,97714492.65,144347.49,2025-10-11
C225,I552023,883,77440772.9,62718.15,2025-10-12
C240,I552024,2918,76193889.08,109452.21,2025-10-28
C239,I552025,1940,165037928.41,56315.08,2025-10-11
C232,I552026,1008,46611203.44,77230.01,2025-09-06
C226,I552027,2075,270366670.91,45875.24,2025-10-31
C228,I552028,1653,158447131.87,117951.55,2025-09-26
C221,I552029,2362,7203197.79,65251.71,2025-09-12
C208,I552030,2561,70574746.99,79119.94,2025-09-04
C212,I552031,362,1466319.12,12504.77,2025-09-22
C217,I552032,156,12592389.86,129682.2,2025-10-21
C222,I552033,2109,253994844.64,142805.45,2025-10-17
C247,I552034,342,48479813.8,3021.32,2025-09-02
C209,I552035,440,39472151.08,60202.0,2025-09-01
C234,I552036,2786,269353034.81,142544.68,2025-10-22
C212,I552037,336,43710499.69,55924.51,2025-09-11
C229,I552038,2557,228199399.61,16520.35,2025-09-21
C248,I552039,2267,180064752.33,30702.56,2025-10-22
C221,I552040,1702,15490816.43,62737.15,2025-10-16
C233,I552041,535,53755329.22,116023.26,2025-10-15
C214,I552042,2901,85452815.25,4101.09,2025-09-03
C213,I552043,2614,65835770.32,63279.67,2025-10-30
C201,I552044,2663,63299035.63,3993.76,2025-10-31
C233,I552045,1028,125994868.93,62358.19,2025-10-08
C201,I552046,2310,168483674.22,6232.34,2025-10-29
C243,I552047,1781,6948860.23,84796.06,2025-09-12
C240,I552048,335,34306627.61,50648.33,2025-09-15
C226,I552049,1444,167952459.55,57519.23,2025-09-04
C235,I552050,1179,159373387.14,7618.28,2025-10-21
C210,I552051,375,4924391.02,5403.92,2025-09-25
C219,I552052,233,23665622.6,13223.48,2025-10-10
C250,I552053,1847,235020183.39,122071.37,2025-09-01
C240,I552054,2590,38970923.42,84644.26,2025-10-08
C244,I552055,2404,330594796.83,96388.83,2025-09-12
C209,I552056,124,15131157.0,28389.99,2025-10-28
C212,I552057,1224,94850720.58,120548.42,2025-10-18
C232,I552058,607,81480042.74,132813.17,2025-09-16
C244,I552059,2149,266698925.14,33495.19,2025-10-29
C226,I552060,1574,45355542.26,9449.49,2025-09-13
C250,I552061,1926,60697102.02,116784.11,2025-10-17
C207,I552062,2174,285094551.36,21362.24,2025-09-24
C212,I552063,617,81508646.85,107759.39,2025-09-01
C236,I552064,638,21644509.82,73846.18,2025-10-05
C202,I552065,1961,32768896.9,50740.6,2025-10-01
C239,I552066,2281,324375227.78,4818.23,2025-10-05
C203,I552067,2747,150301602.73,49100.31,2025-10-31
C210,I552068,1771,215053327.7,113436.19,2025-10-14
C214,I552069,1440,21580186.39,77373.57,2025-09-19
C213,I552070,1397,130436413.51,120834.11,2025-10-06
C231,I552071,730,24825224.19,121515.49,2025-10-25
C221,I552072,1510,214520426.93,24165.97,2025-10-31
C226,I552073,801,108143824.2,83231.74,2025-09-21
C208,I552074,2622,223918487.1,23079.16,2025-09-24
C234,I552075,2227,273906354.7,104869.82,2025-10-29
C242,I552076,1611,40713209.7,62154.68,2025-10-23
C217,I552077,1115,41406597.99,67928.25,2025-10-24
C213,I552078,2191,86330839.31,85757.94,2025-10-25
C203,I552079,1195,112790314.53,9274.91,2025-09-08
C230,I552080,1641,42297215.46,62636.46,2025-10-17
C208,I552081,2762,368249354.32,104968.67,2025-09-21
C224,I552082,1427,203951960.65,49134.59,2025-10-25
C226,I552083,1629,154274178.85,3895.95,2025-10-06
C243,I552084,2206,165918349.58,78100.29,2025-09-18
C243,I552085,2117,167345647.28,54093.85,2025-10-29
C204,I552086,1732,207917548.51,14729.63,2025-10-24
C234,I552087,2828,111962663.82,148081.34,2025-09-24
C214,I552088,2799,178476352.65,115130.94,2025-10-06
C217,I552089,713,68182009.93,59677.56,2025-10-06
C250,I552090,2054,200583532.47,51579.86,2025-10-28
C245,I552091,2559,303053993.33,61309.49,2025-10-22
C237,I552092,2942,400732589.38,75898.44,2025-10-26
C232,I552093,2713,276838003.63,59249.87,2025-09-29
C224,I552094,2710,323116440.95,95077.45,2025-09-14
C228,I552095,352,17570040.71,54060.49,2025-10-28
C246,I552096,258,4382487.36,83122.58,2025-09-27
C246,I552097,2140,230768953.75,108010.85,2025-10-26
C224,I552098,1513,175112232.54,15819.53,2025-10-28
C247,I552099,1978,86205992.38,33583.46,2025-09-12
C248,I552100,2873,28978177.92,69458.47,2025-10-16
C239,I552101,2038,166556145.02,78930.04,2025-10-03
C229,I552102,916,73817732.1,62654.4,2025-10-29
C226,I552103,384,3988833.45,71466.93,2025-09-19
C250,I552104,1477,141169979.42,111234.52,2025-10-30
C234,I552105,2397,302340869.22,59922.87,2025-10-29
C229,I552106,2206,78539987.28,2450.36,2025-10-25
C208,I552107,126,12436910.21,70072.93,2025-10-21
C236,I552108,2605,245227629.18,3502.73,2025-09-02
C248,I552109,357,16939845.64,137712.04,2025-10-31
C204,I552110,1914,260776373.48,6614.89,2025-10-17
C224,I552111,994,112292130.51,40104.01,2025-09-07
C245,I552112,557,7948729.54,100183.03,2025-09-11
C213,I552113,1156,21897260.65,48752.13,2025-10-17
C208,I552114,2926,220086742.54,59826.04,2025-09-04
C225,I552115,1374,174908479.38,83482.88,2025-10-26
C244,I552116,426,34325271.41,3414.3,2025-10-10
C246,I552117,2611,309653051.82,98310.0,2025-10-05
C247,I552118,606,42825591.22,110110.67,2025-10-25
C213,I552119,868,4191038.56,141903.89,2025-10-31
C223,I552120,224,16834664.46,112326.42,2025-09-06
C211,I552121,2875,358486033.71,132770.95,2025-10-05
C242,I552122,1375,97007474.75,41566.89,2025-10-09
C215,I552123,2250,256777534.72,9377.92,2025-10-24
C227,I552124,312,9830501.13,89922.64,2025-09-22
C228,I552125,2109,111996572.97,107073.02,2025-09-03
C213,I552126,1813,162139549.62,76459.67,2025-10-24
C213,I552127,2349,127650444.19,40912.31,2025-10-10
C238,I552128,2110,120925924.9,136235.41,2025-09-10
C216,I552129,2437,192848284.92,123348.08,2025-10-26
C249,I552130,2097,294369301.32,149686.61,2025-09-24
C202,I552131,1340,8832873.2,14711.78,2025-09-08
C231,I552132,2036,209721877.4,50171.71,2025-09-03
C225,I552133,2805,364690558.2,121302.25,2025-09-04
C219,I552134,1580,99196812.23,100569.99,2025-10-11
C217,I552135,1595,75691320.0,95358.15,2025-10-21
C208,I552136,2992,150524561.5,99124.54,2025-10-30
C243,I552137,1842,142272140.92,115888.3,2025-09-14
C239,I552138,1166,42477514.38,101619.21,2025-10-19
C248,I552139,2997,70653745.37,143305.93,2025-10-22
C216,I552140,2377,31485610.68,80421.93,2025-09-21
C210,I552141,542,79340239.96,25397.93,2025-10-01
C217,I552142,1486,44548611.83,36773.3,2025-10-11
C216,I552143,1995,2727682.66,78344.01,2025-09-25
C238,I552144,860,126001556.99,111528.85,2025-10-01
C215,I552145,2676,235436687.14,58093.52,2025-09-25
C244,I552146,639,87820216.69,45757.04,2025-09-29
C246,I552147,1024,153035398.14,80340.37,2025-10-28
C224,I552148,2571,278383680.37,69010.44,2025-10-24
C237,I552149,2605,360077075.96,87562.62,2025-09-13
C210,I552150,1921,222115612.47,57214.66,2025-10-25
C240,I552151,126,12629251.41,3388.52,2025-10-12
C220,I552152,1842,210151287.25,136471.49,2025-10-17
C250,I552153,473,54407229.17,79797.75,2025-10-27
C202,I552154,707,96369684.59,5646.47,2025-10-26
C219,I552155,448,14336566.92,140980.82,2025-10-25
C203,I552156,1540,12333940.28,69198.34,2025-09-15
C232,I552157,1582,108015607.44,31210.37,2025-10-29
C248,I552158,871,121855900.07,2986.63,2025-10-12
C220,I552159,2209,48834979.16,129484.11,2025-09-28
C248,I552160,1616,159814946.25,119280.94,2025-09-04
C204,I552161,2659,46431735.64,141240.3,2025-09-16
C239,I552162,2498,272915707.81,81878.59,2025-10-05
C215,I552163,2255,50685277.29,90061.79,2025-10-14
C213,I552164,1364,188475407.49,23888.84,2025-10-13
C232,I552165,181,18099622.18,131331.54,2025-10-25
C208,I552166,608,68140083.51,146414.6,2025-10-12
C211,I552167,2724,295921003.07,118783.64,2025-09-14
C220,I552168,2052,122362505.91,138966.29,2025-10-07
C233,I552169,2848,198829279.64,142371.07,2025-09-28
C238,I552170,2592,286044599.04,51819.0,2025-09-13
C247,I552171,2527,177092685.5,121084.52,2025-09-28
C245,I552172,1291,117267236.36,10898.3,2025-10-25
C226,I552173,1282,149157657.74,92161.53,2025-10-09
C214,I552174,2652,179646328.89,37760.47,2025-09-23
C235,I552175,418,27135746.66,58164.31,2025-09-01
C226,I552176,1569,91611962.59,17014.25,2025-10-07
C234,I552177,2886,53934399.43,137122.39,2025-10-02
C247,I552178,2801,282569678.51,88091.34,2025-09-15
C225,I552179,166,16505040.05,21107.37,2025-09-11
C223,I552180,2454,93882932.87,77301.47,2025-09-10
C211,I552181,1944,99428314.84,72327.59,2025-10-07
C242,I552182,2857,207513496.74,15418.02,2025-09-27
C224,I552183,1394,152783083.45,140394.71,2025-09-08
C203,I552184,1364,52133197.16,37190.79,2025-09-21
C209,I552185,969,91960486.88,67166.63,2025-09-18
C241,I552186,376,36053250.5,22653.64,2025-10-12
C231,I552187,358,49860584.29,116135.86,2025-10-06
C230,I552188,2758,249153156.7,134963.17,2025-09-22
C210,I552189,2115,223033685.07,28201.73,2025-10-30
C249,I552190,1986,65571806.45,14788.07,2025-09-18
C208,I552191,715,79012491.93,117751.91,2025-09-10
C223,I552192,2748,98331873.62,124197.03,2025-09-05
C224,I552193,1936,151387648.55,30708.83,2025-09-18
C248,I552194,549,57096331.19,121933.73,2025-09-10
C217,I552195,2887,388919815.4,20356.24,2025-10-26
C237,I552196,2060,280759189.17,38906.59,2025-10-01
C232,I552197,2631,242631222.52,48231.33,2025-10-16
C207,I552198,209,22075266.53,71967.42,2025-10-03
C226,I552199,2135,124377306.19,114147.17,2025-09-20
C207,I552200,2377,232808893.73,47919.03,2025-10-15
C213,I552201,1274,143752220.53,103639.38,2025-10-20
C207,I552202,2077,102634929.43,136601.48,2025-09-11
C211,I552203,983,61887775.18,140855.26,2025-10-02
C229,I552204,2311,260305397.39,88562.99,2025-10-15
C210,I552205,363,10706111.36,110794.09,2025-09-28
